role,c0,t,I,q,I_cum,Iq_cum,It_cum,phase
near-inflection,3.4930896646937613,187.48981349482185,40.0,0.39777407080808125,296.95533533718066,143.98689120268637,440.942226539867,threshold-control
near-inflection,3.4930896646937613,187.4992586433213,40.0,0.397754679087858,297.06690143125616,144.06057833748625,441.12747976874243,threshold-control
near-inflection,3.4930896646937613,187.50870379182072,40.0,0.39773528739841857,297.17846752533137,144.13425950741083,441.31272703274215,threshold-control
near-inflection,3.4930896646937613,187.51814894032015,40.0,0.39771589573980526,297.29003361940653,144.20793471285396,441.4979683322605,threshold-control
near-inflection,3.4930896646937613,187.52759408881957,40.0,0.39769650411206003,297.40159971348174,144.28160395420915,441.68320366769086,threshold-control
near-inflection,3.4930896646937613,187.537039237319,40.0,0.3976771125152251,297.51316580755696,144.35526723186993,441.86843303942686,threshold-control
near-inflection,3.4930896646937613,187.54648438581842,40.0,0.3976577209493425,297.6247319016321,144.4289245462298,442.05365644786195,threshold-control
near-inflection,3.4930896646937613,187.55592953431784,40.0,0.39763832941445454,297.73629799570733,144.50257589768228,442.2388738933896,threshold-control
near-inflection,3.4930896646937613,187.56537468281726,40.0,0.3976189379106033,297.8478640897825,144.57622128662078,442.4240853764033,threshold-control
near-inflection,3.4930896646937613,187.5748198313167,40.0,0.3975995464378309,297.9594301838577,144.64986071343873,442.60929089729643,threshold-control
near-inflection,3.4930896646937613,187.5842649798161,40.0,0.3975801549961795,298.0709962779329,144.72349417852956,442.7944904564625,threshold-control
near-inflection,3.4930896646937613,187.59371012831554,40.0,0.39756076358569126,298.1825623720081,144.79712168228662,442.97968405429475,threshold-control
near-inflection,3.4930896646937613,187.603155276815,40.0,0.3975413722064083,298.29412846608363,144.8707432251035,443.16487169118716,threshold-control
near-inflection,3.4930896646937613,187.6126004253144,40.0,0.39752198085837276,298.40569456015885,144.94435880737305,443.35005336753187,threshold-control
near-inflection,3.4930896646937613,187.62204557381384,40.0,0.39750258954162665,298.517260654234,145.0179684294888,443.53522908372287,threshold-control
near-inflection,3.4930896646937613,187.63149072231326,40.0,0.39748319825621237,298.6288267483092,145.09157209184403,443.7203988401532,threshold-control
near-inflection,3.4930896646937613,187.64093587081268,40.0,0.3974638070021719,298.7403928423844,145.165169794832,443.9055626372164,threshold-control
near-inflection,3.4930896646937613,187.6503810193121,40.0,0.39744441577954737,298.8519589364596,145.2387615388459,444.0907204753055,threshold-control
near-inflection,3.4930896646937613,187.65982616781153,40.0,0.3974250245883809,298.9635250305348,145.3123473242789,444.27587235481366,threshold-control
near-inflection,3.4930896646937613,187.66927131631095,40.0,0.3974056334287147,299.07509112460997,145.38592715152424,444.4610182761342,threshold-control
near-inflection,3.4930896646937613,187.67871646481038,40.0,0.39738624230059105,299.1866572186852,145.459501020975,444.64615823966017,threshold-control
near-inflection,3.4930896646937613,187.6881616133098,40.0,0.3973668512040518,299.29822331276034,145.53306893302434,444.8312922457847,threshold-control
near-inflection,3.4930896646937613,187.69760676180925,40.0,0.39734746013913913,299.4097894068359,145.60663088806552,445.0164202949014,threshold-control
near-inflection,3.4930896646937613,187.70705191030868,40.0,0.39732806910589535,299.5213555009111,145.6801868864912,445.2015423874023,threshold-control
near-inflection,3.4930896646937613,187.7164970588081,40.0,0.39730867810436254,299.63292159498627,145.75373692869462,445.3866585236809,threshold-control
near-inflection,3.4930896646937613,187.72594220730753,40.0,0.3972892871345829,299.7444876890615,145.82728101506882,445.5717687041303,threshold-control
near-inflection,3.4930896646937613,187.73538735580695,40.0,0.39726989619659836,299.85605378313664,145.9008191460067,445.7568729291434,threshold-control
near-inflection,3.4930896646937613,187.74483250430637,40.0,0.39725050529045114,299.96761987721186,145.97435132190134,445.9419711991132,threshold-control
near-inflection,3.4930896646937613,187.7542776528058,40.0,0.3972311144161834,300.0791859712871,146.04787754314557,446.1270635144327,threshold-control
near-inflection,3.4930896646937613,187.76372280130522,40.0,0.3972117235738374,300.19075206536223,146.12139781013238,446.31214987549464,threshold-control
