switch_s,total_cost
3.919891331857911498e-01,1.562688496341948730e+00
3.929457908231431262e-01,1.562391365809955524e+00
3.939024484604951581e-01,1.562093312717999005e+00
3.948591060978471345e-01,1.561794393121948232e+00
3.958157637351991109e-01,1.561494662597437300e+00
3.967724213725510873e-01,1.561194176236687436e+00
3.977290790099031192e-01,1.560892988645767199e+00
3.986857366472550956e-01,1.560591153942274545e+00
3.996423942846070720e-01,1.560288725753379069e+00
4.005990519219591040e-01,1.559985757214276125e+00
4.015557095593110803e-01,1.559682300966929835e+00
4.025123671966630567e-01,1.559378409159198009e+00
4.034690248340150331e-01,1.559074133444230181e+00
4.044256824713670095e-01,1.558769524980190280e+00
4.053823401087190414e-01,1.558464634430222873e+00
4.063389977460710178e-01,1.558159511962708299e+00
4.072956553834230498e-01,1.557854207251760048e+00
4.082523130207750262e-01,1.557548769477945072e+00
4.092089706581270026e-01,1.557243247329225699e+00
4.101656282954789789e-01,1.556937689002125369e+00
4.111222859328309553e-01,1.556632142203056901e+00
4.120789435701829873e-01,1.556326654149876365e+00
4.130356012075349637e-01,1.556021271573567510e+00
4.139922588448869401e-01,1.555716040720126037e+00
4.149489164822389720e-01,1.555411007352561104e+00
4.159055741195909484e-01,1.555106216753068038e+00
4.168622317569429248e-01,1.554801713725317613e+00
4.178188893942949012e-01,1.554497542596882109e+00
4.187755470316469331e-01,1.554193747221771060e+00
4.197322046689989095e-01,1.553890370983064484e+00
4.206888623063508859e-01,1.553587456795691102e+00
4.216455199437029178e-01,1.553285047109242312e+00
4.226021775810548942e-01,1.552983183910921161e+00
4.235588352184068706e-01,1.552681908728553717e+00
4.245154928557588470e-01,1.552381262633676151e+00
4.254721504931108234e-01,1.552081286244698433e+00
4.264288081304628553e-01,1.551782019730130191e+00
4.273854657678148317e-01,1.551483502811855208e+00
4.283421234051668636e-01,1.551185774768488734e+00
4.292987810425188400e-01,1.550888874438747456e+00
4.302554386798708164e-01,1.550592840224905844e+00
4.312120963172227928e-01,1.550297710096248061e+00
4.321687539545747692e-01,1.550003521592596911e+00
4.331254115919267456e-01,1.549710311827857900e+00
4.340820692292787775e-01,1.549418117493592151e+00
4.350387268666308094e-01,1.549126974862618411e+00
4.359953845039827858e-01,1.548836919792651035e+00
4.369520421413347622e-01,1.548547987729922415e+00
4.379086997786867386e-01,1.548260213712867817e+00
4.388653574160387150e-01,1.547973632375786890e+00
4.398220150533906914e-01,1.547688277952543157e+00
4.407786726907427233e-01,1.547404184280249506e+00
4.417353303280946997e-01,1.547121384802985666e+00
4.426919879654467316e-01,1.546839912575498577e+00
4.436486456027987080e-01,1.546559800266907647e+00
4.446053032401506844e-01,1.546281080164429333e+00
4.455619608775026608e-01,1.546003784177077955e+00
4.465186185148546372e-01,1.545727943839362961e+00
4.474752761522066691e-01,1.545453590315014836e+00
4.484319337895586455e-01,1.545180754400653944e+00
4.493885914269106774e-01,1.544909466529480468e+00
4.503452490642626538e-01,1.544639756774964789e+00
4.513019067016146302e-01,1.544371654854496345e+00
4.522585643389666066e-01,1.544105190133048922e+00
4.532152219763185830e-01,1.543840391626799757e+00
4.541718796136705594e-01,1.543577288006778403e+00
4.551285372510225913e-01,1.543315907602457848e+00
4.560851948883746232e-01,1.543056278405349424e+00
4.570418525257265996e-01,1.542798428072590822e+00
4.579985101630785760e-01,1.542542383930471939e+00
4.589551678004305524e-01,1.542288172978004246e+00
4.599118254377825288e-01,1.542035821890411995e+00
4.608684830751345052e-01,1.541785357022639413e+00
4.618251407124865371e-01,1.541536804412830364e+00
4.627817983498385135e-01,1.541290189785755826e+00
4.637384559871905454e-01,1.541045538556270245e+00
4.646951136245425218e-01,1.540802875832709695e+00
