time,s,i,q,beta1,beta2
1.640000000000000124e+00,9.605424320445029585e-01,3.039553249797919549e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.650000000000000133e+00,9.602495484686542904e-01,3.059692769371566770e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.660000000000000142e+00,9.599548149273295916e-01,3.079956680513072989e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.669999999999999929e+00,9.596582212104586285e-01,3.100345630078309156e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.679999999999999938e+00,9.593597570712921740e-01,3.120860266647669870e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.689999999999999947e+00,9.590594122270575950e-01,3.141501240471383793e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.699999999999999956e+00,9.587571763587054985e-01,3.162269203471499562e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.709999999999999964e+00,9.584530391109182812e-01,3.183164809229326042e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.719999999999999973e+00,9.581469900921195659e-01,3.204188712984235021e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.729999999999999982e+00,9.578390188750209866e-01,3.225341571581748223e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.739999999999999991e+00,9.575291149970585058e-01,3.246624043437675022e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.750000000000000000e+00,9.572172679602012346e-01,3.268036788529660175e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.760000000000000009e+00,9.569034672309844058e-01,3.289580468388174361e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.770000000000000018e+00,9.565877022405631092e-01,3.311255746090811802e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.780000000000000027e+00,9.562699623854787889e-01,3.333063286192731317e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.790000000000000036e+00,9.559502370278432082e-01,3.355003754708247438e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.800000000000000044e+00,9.556285154952646188e-01,3.377077819092342420e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.810000000000000053e+00,9.553047870808795139e-01,3.399286148235221988e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.820000000000000062e+00,9.549790410434987331e-01,3.421629412447553531e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.830000000000000071e+00,9.546512666085207321e-01,3.444108283380623026e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.840000000000000080e+00,9.543214529679011626e-01,3.466723434019833294e-02,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
